Rochester MN-Mason City IA-Austin MN	611
Columbia-Jefferson City MO	604
Joplin MO-Pittsburg KS	603
Kansas City MO	616
Ottumwa IA-Kirksville MO	631
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	632
Quincy IL-Hannibal MO-Keokuk IA	717
Springfield MO	619
St. Joseph MO	638
St. Louis MO	609
Biloxi-Gulfport MS	746
Columbus-Tupelo-West Point MS	673
Greenwood-Greenville MS	647
Hattiesburg-Laurel MS	710
Jackson MS	718
Meridian MS	711
Billings MT	756
Butte-Bozeman MT	754
Glendive MT	798
Great Falls MT	755
Helena MT	766
Missoula MT	762
Charlotte NC	517
Greensboro-High Point-Winston Salem NC	518
Greenville-New Bern-Washington NC	545
Greenville-Spartanburg SC-Asheville NC-Anderson SC	567
Raleigh-Durham (Fayetteville) NC	560
Wilmington NC	550
Fargo-Valley City ND	724
Minot-Bismarck-Dickinson(Williston) ND	687
Cheyenne WY-Scottsbluff NE	759
Lincoln & Hastings-Kearney NE	722
North Platte NE	740
Omaha NE	652
Boston MA-Manchester NH	506
Albuquerque-Santa Fe NM	790
Las Vegas NV	839
Reno NV	811
Albany-Schenectady-Troy NY	532
Binghamton NY	502
Buffalo NY	514
Burlington VT-Plattsburgh NY	523
Elmira NY	565
New York NY	501
Rochester NY	538
Syracuse NY	555
Utica NY	526
Watertown NY	549
Cincinnati OH	515
Cleveland-Akron (Canton) OH	510
Columbus OH	535
Dayton OH	542
Lima OH	558
Toledo OH	547
Wheeling WV-Steubenville OH	554
Youngstown OH	536
Zanesville OH	596
Oklahoma City OK	650
Sherman TX-Ada OK	657
Tulsa OK	671
Wichita Falls TX & Lawton OK	627
Bend OR	821
Eugene OR	801
Medford-Klamath Falls OR	813
Portland OR	820
Erie PA	516
Harrisburg-Lancaster-Lebanon-York PA	566
Johnstown-Altoona PA	574
Philadelphia PA	504
Pittsburgh PA	508
Wilkes Barre-Scranton PA	577
Providence RI-New Bedford MA	521
Charleston SC	519
Columbia SC	546
Florence-Myrtle Beach SC	570
Greenville-Spartanburg SC-Asheville NC-Anderson SC	567
Rapid City SD	764
Sioux Falls(Mitchell) SD	725
Chattanooga TN	575
Jackson TN	639
Knoxville TN	557
Memphis TN	640
Nashville TN	659
Tri-Cities TN-VA	531
Abilene-Sweetwater TX	662
Amarillo TX	634
Austin TX	635
Beaumont-Port Arthur TX	692
Corpus Christi TX	600
Dallas-Ft. Worth TX	623
El Paso TX	765
Harlingen-Weslaco-Brownsville-McAllen TX	636
Houston TX	618
Laredo TX	749
Lubbock TX	651
Odessa-Midland TX	633
San Angelo TX	661
San Antonio TX	641
Sherman TX-Ada OK	657
Tyler-Longview(Lufkin & Nacogdoches) TX	709
Victoria TX	626
Waco-Temple-Bryan TX	625
Wichita Falls TX & Lawton OK	627
Salt Lake City UT	770
Charlottesville VA	584
Harrisonburg VA	569
Norfolk-Portsmouth-Newport News VA	544
Richmond-Petersburg VA	556
Roanoke-Lynchburg VA	573
Tri-Cities TN-VA	531
Burlington VT-Plattsburgh NY	523
Seattle-Tacoma WA	819
Spokane WA	881
Yakima-Pasco-Richland-Kennewick WA	810
Duluth MN-Superior WI	676
Green Bay-Appleton WI	658
La Crosse-Eau Claire WI	702
Madison WI	669
Milwaukee WI	617
Wausau-Rhinelander WI	705
Bluefield-Beckley-Oak Hill WV	559
Charleston-Huntington WV	564
Clarksburg-Weston WV	598
Parkersburg WV	597
Wheeling WV-Steubenville OH	554
Casper-Riverton WY	767
Cheyenne WY-Scottsbluff NE	759
